mostUsableSpell,secondUsableSpell,thirdUsableSpell
Flash,Ignite,Teleport
Flash,Teleport,Ghost
Flash,Teleport,Ignite
Flash,Ignite,Ghost
Flash,Smite,Teleport
Flash,Teleport,Heal
Flash,Ignite,Teleport
Flash,Ghost,Ignite
Flash,Ignite,Smite
Flash,Teleport,Ignite
Flash,Smite,Ignite
Flash,Ignite,Exhaust
Flash,Ghost,Heal
Flash,Teleport,Exhaust
Flash,Heal,Barrier
Flash,Exhaust,Heal
Flash,Ignite,Teleport
Flash,Heal,Barrier
Flash,Smite,Teleport
Flash,Smite,Ignite
Flash,Heal,Exhaust
Flash,Heal,Barrier
Flash,Teleport,Ghost
Flash,Smite,Teleport
Flash,Ignite,Exhaust
Flash,Exhaust,Ignite
Flash,Teleport,Ghost
Flash,Smite,Ignite
Flash,Heal,Smite
Flash,Teleport,Exhaust
Flash,Teleport,Smite
Flash,Smite,Ignite
Flash,Smite,Ghost
Flash,Teleport,Ignite
Ignite,Smite,Flash
Flash,Teleport,Smite
Flash,Ignite,Exhaust
Flash,Teleport,Ignite
Flash,Teleport,Ignite
Flash,Exhaust,Heal
Flash,Teleport,Exhaust
Flash,Heal,Exhaust
Flash,Exhaust,Ignite
Flash,Exhaust,Ignite
Flash,Teleport,Exhaust
Flash,Teleport,Smite
Flash,Teleport,Ignite
Flash,Heal,Barrier
Flash,Ignite,Exhaust
Flash,Teleport,Ignite
Flash,Ignite,Teleport
Flash,Smite,Ignite
Flash,Teleport,Smite
Flash,Teleport,Ignite
Flash,Smite,Teleport
Flash,Smite,Ignite
Flash,Barrier,Heal
Flash,Ignite,Smite
Flash,Ignite,Exhaust
Flash,Smite,Ignite
Flash,Heal,Barrier
Flash,Teleport,Smite
Flash,Ghost,Heal
Flash,Smite,Cleanse
Flash,Teleport,Clarity
Flash,Teleport,Clarity
Flash,Smite,Ignite
Flash,Smite,Ghost
Flash,Teleport,Exhaust
Flash,Smite,Teleport
Flash,Ignite,Smite
Flash,Heal,Smite
Flash,Teleport,Ignite
Flash,Teleport,Ignite
Flash,Teleport,Ignite
Flash,Teleport,Ignite
Flash,Teleport,Ignite
Flash,Ignite,Exhaust
Flash,Teleport,Ghost
Flash,Ignite,Teleport
Flash,Teleport,Ignite
Flash,Heal,Barrier
Flash,Teleport,Smite
Flash,Heal,Ignite
Flash,Heal,Exhaust
Flash,Smite,Teleport
Flash,Ignite,Heal
Flash,Smite,Heal
Flash,Ignite,Teleport
Flash,Smite,Teleport
Flash,Smite,Teleport
Flash,Heal,Barrier
Flash,Teleport,Ignite
Flash,Ghost,Heal
Flash,Smite,Teleport
Flash,Teleport,Ignite
Flash,Heal,Clarity
Flash,Exhaust,Ignite
Flash,Heal,Barrier
Ghost,Smite,Flash
Flash,Smite,Ignite
Flash,Ghost,Teleport
Flash,Teleport,Ignite
Flash,Teleport,Smite
Flash,Ignite,Teleport
Flash,Ignite,Heal
Flash,Ignite,Ghost
Flash,Ghost,Ignite
Flash,Smite,Teleport
Flash,Ignite,Teleport
Flash,Ignite,Exhaust
Flash,Teleport,Ignite
Flash,Smite,Exhaust
Flash,Ignite,Teleport
Flash,Exhaust,Barrier
Flash,Heal,Ghost
Flash,Teleport,Smite
Flash,Exhaust,Ignite
Flash,Heal,Barrier
Flash,Smite,Heal
Flash,Heal,Barrier
Flash,Exhaust,Teleport
Flash,Heal,Ignite
Flash,Ignite,Teleport
Flash,Teleport,Ignite
Flash,Teleport,Ignite
Flash,Smite,Ignite
Flash,Teleport,Smite
Flash,Exhaust,Ignite
Flash,Barrier,Heal
Flash,Ignite,Exhaust
Flash,Teleport,Ignite
Flash,Smite,Ghost
Flash,Smite,Exhaust
Flash,Heal,Barrier
Flash,Ignite,Exhaust
Flash,Ignite,Exhaust
Flash,Heal,Barrier
Flash,Teleport,Smite
